text,label
አለፈ ተረፈ ያዘ አቋም ተነሳ አምላክ ቀጣ አሰበ ስጋት አደረ ,0
መጠን ከፍ ድርግ ገነነ ዘርፍ እጥፍ አደገ ቻለ መሰለ ,1
ሃይማኖት እምነት ተጣመረ ግደታም ጭምር ሃይማኖት እምነት ጠራ ,0
አፍሪካ ደረጃ ያህል ያለው አባል አፈራ ፓርቲ ቀደመ ድርግ ,0
ድሬዳዋ መንግስት መንግስታዊ ተቋም በአንድላይ ሰራ ,0
አራዳ ልጅ ብር መታ ቢሊየን ብር ተጠጋ ገንዘብ ,0
ክልል ሏላዊ ሃገር አስተዳደራዊ መዋቅር ራስ ቻለ ሃገር ,1
ምግብ ሸቀጥ አምና የካቲት ወር ተነፃጸረ መቶ በላይ ዋግ ናረ ,1
ነገ መሰለ ገጠመ ቻለ አሰበ ስጋት ተሸበረ ቀረ ,0
ድጋፍ ጠነከረ ቀጠለ ያለው አጋርነት ኖረ ጽሁፍ ቋጨ ,1
ሉቃስ ጴጥሮስ ደገመ ኢየሱስ አዘነ ድርግ ,0
አልማዝ ከረጢት አውሮፕላን ገብ በረራ ነሳ ሁለት መኪና ከተፍ ,0
አካባቢ ራስ አለቃ ድርጎ ቈጠረ ኮሎኔል ደመላሽ ከፍተኛ ጥረት ድርግ ,0
ኢትዮጵያ ቡና እሴት ቡድን ገና ጅምር ጥር ተቀባይነት ሃላፊነት ,0
አሜሪካኖቹ አመት ጀመረ ስርአት ቀላል ,0
ብሄራዊ ቴአትር ፍቅር ኖረ አደገ ታዋቂነትን ተረፈ ለፋ ቤት ,0
ጸደቀ ወጣ ህግ ደንብ ግንዛቤ ጨበጠ ስራ ሰራ ፈለገ ,0
ወታደር ታጠቀ አይነት ካርታ ጎራ ሰራ ሲቸበቸብ ሰነበተ ,1
መንግስት ርቀት ጠበቀ አበረ ሰራ ቻለ ሰራ ሞከረ ,0
አርቲስት ፍቃዱ ተክለማርያም ኢትዮጵያ ሬድዮ ተረከ የብዙወችን ቀልብ ሳበ ,1
ሃገር በስታድየሞች ዙሪያ ገነባ ሱቅ ትጥቅ መሰል ቁሳቁስ ሸጠ ,0
ምክትል ፕሬዝዳንት ሳልቫዶር ኢትዮጵያ እድገት ጎዳ ገነነ ጠቀሰ አለፈ ,1
ይሁን ትእይንት ቀረጸ ተገኘ ካሜራ ባለሙያወች አንዱ ጠለፈ ,1
ሃብረተሰቡ ነገደ ግድብ ግንባታ ድርግ ተሳተፈ ቀጠለ ,0
መንግስት ገለጸ ይፋ ሰአት ጀመረ ተግባር ተከናወነ ተገኘ ,1
መሰረት ጥናት የአፈፃጸም ክትትል ግብአት ቀረበ ትልቅ መሰረተ ልማት ,1
